id,grid_solution,steps
lgp-test-4x5-5,{},16
lgp-test-5x6-14,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""classical"", ""gardening"", ""cruise"", ""Meredith"", ""daffodils""], [""2"", ""Alice"", ""rock"", ""cooking"", ""mountain"", ""Timothy"", ""carnations""], [""3"", ""Arnold"", ""jazz"", ""photography"", ""city"", ""Bella"", ""roses""], [""4"", ""Peter"", ""hip_hop"", ""knitting"", ""camping"", ""Samantha"", ""tulips""], [""5"", ""Bob"", ""pop"", ""painting"", ""beach"", ""Fred"", ""lilies""]]}",41
lgp-test-3x2-31,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""classical""], [""2"", ""Arnold"", ""pop""], [""3"", ""Eric"", ""rock""]]}",10
lgp-test-5x2-25,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""dragonfruit""], [""2"", ""Arnold"", ""cherry""], [""3"", ""Bob"", ""lime""], [""4"", ""Eric"", ""watermelon""], [""5"", ""Alice"", ""desert""]]}",13
lgp-test-6x2-0,{},72
lgp-test-4x6-1,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""april"", ""pall_mall"", ""oneplus_9"", ""roses"", ""average""], [""2"", ""Peter"", ""sept"", ""blue_master"", ""iphone_13"", ""lilies"", ""short""], [""3"", ""Alice"", ""feb"", ""prince"", ""samsung_galaxy_s21"", ""carnations"", ""tall""], [""4"", ""Arnold"", ""jan"", ""dunhill"", ""google_pixel_6"", ""daffodils"", ""very_short""]]}",87
lgp-test-4x4-29,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""average"", ""fish"", ""spaghetti""], [""2"", ""Arnold"", ""tall"", ""cat"", ""stew""], [""3"", ""Peter"", ""very_short"", ""bird"", ""grilled_cheese""], [""4"", ""Alice"", ""short"", ""dog"", ""pizza""]]}",91
lgp-test-6x3-0,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Carol"", ""roses"", ""chinese""], [""2"", ""Bob"", ""carnations"", ""dane""], [""3"", ""Alice"", ""daffodils"", ""german""], [""4"", ""Peter"", ""lilies"", ""brit""], [""5"", ""Eric"", ""iris"", ""norwegian""], [""6"", ""Arnold"", ""tulips"", ""swede""]]}",26
lgp-test-4x4-14,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""Janelle"", ""dragonfruit"", ""romance""], [""2"", ""Arnold"", ""Kailyn"", ""cherry"", ""science_fiction""], [""3"", ""Peter"", ""Aniya"", ""desert"", ""fantasy""], [""4"", ""Eric"", ""Holly"", ""watermelon"", ""mystery""]]}",26
lgp-test-2x4-39,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""grilled_cheese"", ""cat"", ""engineer""], [""2"", ""Arnold"", ""pizza"", ""dog"", ""doctor""]]}",9
lgp-test-4x3-37,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""cherry"", ""photography""], [""2"", ""Arnold"", ""desert"", ""cooking""], [""3"", ""Alice"", ""dragonfruit"", ""painting""], [""4"", ""Eric"", ""watermelon"", ""gardening""]]}",23
lgp-test-2x5-24,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""associate"", ""Fred"", ""science_fiction"", ""cherry""], [""2"", ""Arnold"", ""high_school"", ""Bella"", ""mystery"", ""desert""]]}",11
lgp-test-2x2-29,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""water""], [""2"", ""Eric"", ""tea""]]}",7
lgp-test-6x4-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""mystery"", ""google_pixel_6"", ""root_beer""], [""2"", ""Peter"", ""science_fiction"", ""oneplus_9"", ""milk""], [""3"", ""Alice"", ""biography"", ""iphone_13"", ""water""], [""4"", ""Bob"", ""romance"", ""samsung_galaxy_s21"", ""coffee""], [""5"", ""Arnold"", ""historical_fiction"", ""huawei_p50"", ""tea""], [""6"", ""Carol"", ""fantasy"", ""xiaomi_mi_11"", ""boba_tea""]]}",104
lgp-test-2x5-1,{},6
lgp-test-5x2-5,{},5
lgp-test-2x3-21,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""pall_mall"", ""carnations""], [""2"", ""Arnold"", ""prince"", ""daffodils""]]}",9
lgp-test-6x3-31,{},322
lgp-test-4x6-12,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""ranch"", ""prince"", ""doctor"", ""carnations"", ""horse""], [""2"", ""Alice"", ""craftsman"", ""blue_master"", ""artist"", ""lilies"", ""fish""], [""3"", ""Peter"", ""victorian"", ""dunhill"", ""teacher"", ""roses"", ""bird""], [""4"", ""Arnold"", ""colonial"", ""pall_mall"", ""engineer"", ""daffodils"", ""cat""]]}",25
lgp-test-2x2-5,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""victorian""], [""2"", ""Arnold"", ""colonial""]]}",4
lgp-test-6x5-6,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Peter"", ""feb"", ""fish"", ""country"", ""historical_fiction""], [""2"", ""Arnold"", ""mar"", ""hamster"", ""hip_hop"", ""science_fiction""], [""3"", ""Eric"", ""may"", ""rabbit"", ""classical"", ""biography""], [""4"", ""Carol"", ""jan"", ""cat"", ""rock"", ""romance""], [""5"", ""Alice"", ""sept"", ""dog"", ""pop"", ""fantasy""], [""6"", ""Bob"", ""april"", ""bird"", ""jazz"", ""mystery""]]}",405
lgp-test-5x2-39,{},54
lgp-test-4x2-39,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""spaghetti""], [""2"", ""Alice"", ""stew""], [""3"", ""Arnold"", ""pizza""], [""4"", ""Eric"", ""grilled_cheese""]]}",21
lgp-test-5x5-9,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""root_beer"", ""yellow"", ""carnations"", ""gardening""], [""2"", ""Bob"", ""tea"", ""white"", ""daffodils"", ""painting""], [""3"", ""Peter"", ""water"", ""red"", ""roses"", ""knitting""], [""4"", ""Alice"", ""milk"", ""blue"", ""tulips"", ""cooking""], [""5"", ""Arnold"", ""coffee"", ""green"", ""lilies"", ""photography""]]}",116
lgp-test-2x6-33,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""red"", ""desert"", ""Bella"", ""april"", ""tesla_model_3""], [""2"", ""Eric"", ""yellow"", ""cherry"", ""Fred"", ""sept"", ""ford_f150""]]}",14
lgp-test-5x5-32,{},255
lgp-test-5x2-26,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""cruise""], [""2"", ""Bob"", ""mountain""], [""3"", ""Eric"", ""beach""], [""4"", ""Arnold"", ""city""], [""5"", ""Peter"", ""camping""]]}",22
lgp-test-4x6-11,{},156
lgp-test-2x2-17,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""pall_mall""], [""2"", ""Eric"", ""prince""]]}",4
lgp-test-5x5-22,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""mountain"", ""ranch"", ""bachelor"", ""Aniya""], [""2"", ""Alice"", ""beach"", ""victorian"", ""associate"", ""Janelle""], [""3"", ""Arnold"", ""city"", ""colonial"", ""doctorate"", ""Penny""], [""4"", ""Bob"", ""cruise"", ""craftsman"", ""high_school"", ""Kailyn""], [""5"", ""Peter"", ""camping"", ""modern"", ""master"", ""Holly""]]}",39
lgp-test-6x4-34,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""german"", ""science_fiction"", ""Penny""], [""2"", ""Arnold"", ""dane"", ""historical_fiction"", ""Kailyn""], [""3"", ""Carol"", ""norwegian"", ""fantasy"", ""Sarah""], [""4"", ""Peter"", ""brit"", ""mystery"", ""Aniya""], [""5"", ""Eric"", ""swede"", ""romance"", ""Janelle""], [""6"", ""Bob"", ""chinese"", ""biography"", ""Holly""]]}",233
lgp-test-4x4-30,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""lilies"", ""engineer"", ""dragonfruit""], [""2"", ""Eric"", ""roses"", ""teacher"", ""cherry""], [""3"", ""Peter"", ""carnations"", ""doctor"", ""desert""], [""4"", ""Arnold"", ""daffodils"", ""artist"", ""watermelon""]]}",31
lgp-test-4x6-13,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Alice"", ""pall_mall"", ""colonial"", ""feb"", ""doctor"", ""Fred""], [""2"", ""Arnold"", ""blue_master"", ""ranch"", ""sept"", ""teacher"", ""Bella""], [""3"", ""Peter"", ""dunhill"", ""victorian"", ""april"", ""artist"", ""Samantha""], [""4"", ""Eric"", ""prince"", ""craftsman"", ""jan"", ""engineer"", ""Meredith""]]}",30
lgp-test-2x5-18,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Arnold"", ""science_fiction"", ""tesla_model_3"", ""photography"", ""water""], [""2"", ""Eric"", ""mystery"", ""ford_f150"", ""gardening"", ""tea""]]}",17
lgp-test-2x6-31,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""ford_f150"", ""iphone_13"", ""water"", ""april"", ""brit""], [""2"", ""Arnold"", ""tesla_model_3"", ""samsung_galaxy_s21"", ""tea"", ""sept"", ""dane""]]}",12
lgp-test-2x2-4,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""tesla_model_3""], [""2"", ""Arnold"", ""ford_f150""]]}",5
lgp-test-4x3-3,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""pall_mall"", ""tall""], [""2"", ""Arnold"", ""dunhill"", ""very_short""], [""3"", ""Alice"", ""blue_master"", ""average""], [""4"", ""Eric"", ""prince"", ""short""]]}",14
lgp-test-2x2-20,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""Fred""], [""2"", ""Eric"", ""Bella""]]}",5
lgp-test-3x2-13,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""cooking""], [""2"", ""Eric"", ""photography""], [""3"", ""Peter"", ""gardening""]]}",7
lgp-test-2x3-24,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""water"", ""engineer""], [""2"", ""Eric"", ""tea"", ""doctor""]]}",9
lgp-test-4x2-11,{},20
lgp-test-3x4-21,{},6
lgp-test-3x5-13,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Arnold"", ""ranch"", ""lilies"", ""bird"", ""brit""], [""2"", ""Eric"", ""victorian"", ""carnations"", ""cat"", ""swede""], [""3"", ""Peter"", ""colonial"", ""daffodils"", ""horse"", ""dane""]]}",34
lgp-test-2x6-32,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""carnations"", ""mystery"", ""brit"", ""cat"", ""rock""], [""2"", ""Eric"", ""daffodils"", ""science_fiction"", ""dane"", ""horse"", ""pop""]]}",12
lgp-test-5x3-24,{},63
lgp-test-3x3-22,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""black"", ""cat""], [""2"", ""Eric"", ""blonde"", ""bird""], [""3"", ""Arnold"", ""brown"", ""horse""]]}",13
lgp-test-5x3-7,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Bob"", ""romance"", ""mountain""], [""2"", ""Arnold"", ""science_fiction"", ""camping""], [""3"", ""Alice"", ""fantasy"", ""city""], [""4"", ""Eric"", ""biography"", ""cruise""], [""5"", ""Peter"", ""mystery"", ""beach""]]}",26
lgp-test-6x2-10,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""pop""], [""2"", ""Eric"", ""classical""], [""3"", ""Bob"", ""hip_hop""], [""4"", ""Alice"", ""jazz""], [""5"", ""Arnold"", ""rock""], [""6"", ""Carol"", ""country""]]}",17
lgp-test-3x2-32,{},13
lgp-test-5x6-35,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""Fred"", ""gray"", ""cooking"", ""dog"", ""roses""], [""2"", ""Alice"", ""Meredith"", ""blonde"", ""painting"", ""fish"", ""tulips""], [""3"", ""Arnold"", ""Bella"", ""red"", ""photography"", ""cat"", ""carnations""], [""4"", ""Eric"", ""Samantha"", ""black"", ""knitting"", ""hamster"", ""daffodils""], [""5"", ""Bob"", ""Timothy"", ""brown"", ""gardening"", ""bird"", ""lilies""]]}",689
lgp-test-5x4-1,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Alice"", ""Kailyn"", ""blonde"", ""artist""], [""2"", ""Eric"", ""Penny"", ""gray"", ""doctor""], [""3"", ""Arnold"", ""Aniya"", ""red"", ""engineer""], [""4"", ""Bob"", ""Holly"", ""black"", ""lawyer""], [""5"", ""Peter"", ""Janelle"", ""brown"", ""teacher""]]}",25
lgp-test-6x2-4,{},84
lgp-test-4x4-2,{},0
lgp-test-3x6-0,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""white"", ""samsung_galaxy_s21"", ""lilies"", ""milk"", ""associate""], [""2"", ""Arnold"", ""red"", ""iphone_13"", ""daffodils"", ""tea"", ""bachelor""], [""3"", ""Peter"", ""yellow"", ""google_pixel_6"", ""carnations"", ""water"", ""high_school""]]}",20
lgp-test-6x2-38,{},0
lgp-test-3x2-36,{},11
lgp-test-5x2-27,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""very_tall""], [""2"", ""Peter"", ""short""], [""3"", ""Bob"", ""very_short""], [""4"", ""Alice"", ""tall""], [""5"", ""Arnold"", ""average""]]}",21
lgp-test-6x5-37,{},6
lgp-test-4x6-22,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""milk"", ""lilies"", ""tennis"", ""doctor"", ""Bella""], [""2"", ""Alice"", ""water"", ""daffodils"", ""basketball"", ""teacher"", ""Samantha""], [""3"", ""Peter"", ""tea"", ""roses"", ""soccer"", ""artist"", ""Meredith""], [""4"", ""Eric"", ""coffee"", ""carnations"", ""swimming"", ""engineer"", ""Fred""]]}",41
lgp-test-3x3-32,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""cooking"", ""doctor""], [""2"", ""Eric"", ""photography"", ""engineer""], [""3"", ""Peter"", ""gardening"", ""teacher""]]}",20
lgp-test-3x2-1,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""cooking""], [""2"", ""Arnold"", ""photography""], [""3"", ""Eric"", ""gardening""]]}",6
lgp-test-2x2-13,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""associate""], [""2"", ""Eric"", ""high_school""]]}",5
lgp-test-4x2-27,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""red""], [""2"", ""Arnold"", ""yellow""], [""3"", ""Alice"", ""white""], [""4"", ""Peter"", ""green""]]}",14
lgp-test-3x2-39,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""prince""], [""2"", ""Peter"", ""pall_mall""], [""3"", ""Arnold"", ""blue_master""]]}",11
lgp-test-2x4-4,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Arnold"", ""victorian"", ""short"", ""associate""], [""2"", ""Eric"", ""colonial"", ""very_short"", ""high_school""]]}",9
lgp-test-4x5-12,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Alice"", ""cherry"", ""victorian"", ""dane"", ""oneplus_9""], [""2"", ""Arnold"", ""desert"", ""craftsman"", ""swede"", ""samsung_galaxy_s21""], [""3"", ""Eric"", ""dragonfruit"", ""ranch"", ""norwegian"", ""iphone_13""], [""4"", ""Peter"", ""watermelon"", ""colonial"", ""brit"", ""google_pixel_6""]]}",79
lgp-test-2x6-12,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""associate"", ""Bella"", ""beach"", ""doctor"", ""victorian""], [""2"", ""Arnold"", ""high_school"", ""Fred"", ""mountain"", ""engineer"", ""colonial""]]}",12
lgp-test-3x4-9,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Eric"", ""sept"", ""swede"", ""yellow""], [""2"", ""Arnold"", ""april"", ""dane"", ""red""], [""3"", ""Peter"", ""jan"", ""brit"", ""white""]]}",20
lgp-test-4x4-5,{},26
lgp-test-3x5-9,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Arnold"", ""mountain"", ""horse"", ""very_short"", ""Bella""], [""2"", ""Peter"", ""beach"", ""bird"", ""short"", ""Meredith""], [""3"", ""Eric"", ""city"", ""cat"", ""average"", ""Fred""]]}",28
lgp-test-5x4-3,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Arnold"", ""Kailyn"", ""pop"", ""pizza""], [""2"", ""Eric"", ""Aniya"", ""hip_hop"", ""grilled_cheese""], [""3"", ""Bob"", ""Janelle"", ""rock"", ""stew""], [""4"", ""Peter"", ""Penny"", ""classical"", ""stir_fry""], [""5"", ""Alice"", ""Holly"", ""jazz"", ""spaghetti""]]}",205
lgp-test-3x4-38,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Arnold"", ""milk"", ""dog"", ""gardening""], [""2"", ""Peter"", ""water"", ""fish"", ""photography""], [""3"", ""Eric"", ""tea"", ""cat"", ""cooking""]]}",25
lgp-test-4x3-14,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Alice"", ""painting"", ""fish""], [""2"", ""Arnold"", ""cooking"", ""horse""], [""3"", ""Peter"", ""photography"", ""cat""], [""4"", ""Eric"", ""gardening"", ""bird""]]}",22
lgp-test-3x3-9,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""pizza"", ""white""], [""2"", ""Peter"", ""grilled_cheese"", ""red""], [""3"", ""Eric"", ""spaghetti"", ""yellow""]]}",9
lgp-test-6x3-6,{},968
lgp-test-3x3-39,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""ranch"", ""carnations""], [""2"", ""Eric"", ""colonial"", ""lilies""], [""3"", ""Peter"", ""victorian"", ""daffodils""]]}",15
lgp-test-4x3-15,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""craftsman"", ""white""], [""2"", ""Alice"", ""victorian"", ""yellow""], [""3"", ""Eric"", ""colonial"", ""red""], [""4"", ""Arnold"", ""ranch"", ""green""]]}",47
lgp-test-6x4-21,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4""], ""rows"": [[""1"", ""Carol"", ""victorian"", ""bmw_3_series"", ""Kailyn""], [""2"", ""Bob"", ""ranch"", ""tesla_model_3"", ""Janelle""], [""3"", ""Alice"", ""craftsman"", ""chevrolet_silverado"", ""Penny""], [""4"", ""Eric"", ""colonial"", ""honda_civic"", ""Aniya""], [""5"", ""Arnold"", ""mediterranean"", ""ford_f150"", ""Sarah""], [""6"", ""Peter"", ""modern"", ""toyota_camry"", ""Holly""]]}",153
lgp-test-5x6-1,{},111
lgp-test-4x5-27,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""short"", ""city"", ""yellow"", ""Meredith""], [""2"", ""Peter"", ""tall"", ""mountain"", ""green"", ""Samantha""], [""3"", ""Alice"", ""very_short"", ""beach"", ""white"", ""Fred""], [""4"", ""Arnold"", ""average"", ""cruise"", ""red"", ""Bella""]]}",113
lgp-test-2x6-20,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""horse"", ""red"", ""cherry"", ""science_fiction"", ""pizza""], [""2"", ""Arnold"", ""cat"", ""yellow"", ""desert"", ""mystery"", ""grilled_cheese""]]}",13
lgp-test-4x5-37,{},116
lgp-test-5x2-28,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Eric"", ""very_tall""], [""2"", ""Peter"", ""short""], [""3"", ""Alice"", ""tall""], [""4"", ""Arnold"", ""average""], [""5"", ""Bob"", ""very_short""]]}",38
lgp-test-4x2-23,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""blue_master""], [""2"", ""Eric"", ""dunhill""], [""3"", ""Alice"", ""prince""], [""4"", ""Peter"", ""pall_mall""]]}",11
lgp-test-6x3-3,{},196
lgp-test-2x2-10,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""ford_f150""], [""2"", ""Eric"", ""tesla_model_3""]]}",6
lgp-test-2x6-39,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""mystery"", ""beach"", ""cherry"", ""Fred"", ""soccer""], [""2"", ""Eric"", ""science_fiction"", ""mountain"", ""desert"", ""Bella"", ""basketball""]]}",16
lgp-test-4x2-25,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""high_school""], [""2"", ""Eric"", ""bachelor""], [""3"", ""Alice"", ""associate""], [""4"", ""Peter"", ""master""]]}",13
lgp-test-4x5-14,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5""], ""rows"": [[""1"", ""Eric"", ""Holly"", ""desert"", ""average"", ""master""], [""2"", ""Peter"", ""Aniya"", ""cherry"", ""very_short"", ""bachelor""], [""3"", ""Alice"", ""Janelle"", ""dragonfruit"", ""tall"", ""high_school""], [""4"", ""Arnold"", ""Kailyn"", ""watermelon"", ""short"", ""associate""]]}",89
lgp-test-2x2-31,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Arnold"", ""beach""], [""2"", ""Eric"", ""mountain""]]}",4
lgp-test-4x6-19,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Eric"", ""lilies"", ""soccer"", ""black"", ""sept"", ""city""], [""2"", ""Peter"", ""carnations"", ""tennis"", ""blonde"", ""jan"", ""cruise""], [""3"", ""Alice"", ""roses"", ""basketball"", ""red"", ""april"", ""beach""], [""4"", ""Arnold"", ""daffodils"", ""swimming"", ""brown"", ""feb"", ""mountain""]]}",121
lgp-test-4x2-4,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Peter"", ""romance""], [""2"", ""Alice"", ""fantasy""], [""3"", ""Arnold"", ""science_fiction""], [""4"", ""Eric"", ""mystery""]]}",14
lgp-test-3x3-37,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Peter"", ""photography"", ""romance""], [""2"", ""Arnold"", ""gardening"", ""science_fiction""], [""3"", ""Eric"", ""cooking"", ""mystery""]]}",23
lgp-test-4x3-4,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Eric"", ""beach"", ""yellow""], [""2"", ""Alice"", ""cruise"", ""white""], [""3"", ""Peter"", ""mountain"", ""green""], [""4"", ""Arnold"", ""city"", ""red""]]}",38
lgp-test-5x6-11,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Arnold"", ""knitting"", ""jan"", ""swimming"", ""engineer"", ""master""], [""2"", ""Alice"", ""painting"", ""mar"", ""basketball"", ""artist"", ""doctorate""], [""3"", ""Peter"", ""cooking"", ""april"", ""baseball"", ""doctor"", ""high_school""], [""4"", ""Bob"", ""gardening"", ""feb"", ""soccer"", ""teacher"", ""associate""], [""5"", ""Eric"", ""photography"", ""sept"", ""tennis"", ""lawyer"", ""bachelor""]]}",83
lgp-test-3x6-12,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3"", ""Category_4"", ""Category_5"", ""Category_6""], ""rows"": [[""1"", ""Peter"", ""Meredith"", ""jan"", ""cherry"", ""spaghetti"", ""Aniya""], [""2"", ""Eric"", ""Fred"", ""sept"", ""watermelon"", ""pizza"", ""Holly""], [""3"", ""Arnold"", ""Bella"", ""april"", ""desert"", ""grilled_cheese"", ""Janelle""]]}",35
lgp-test-5x5-2,{},637
lgp-test-4x2-0,"{""header"": [""House"", ""Category_1"", ""Category_2""], ""rows"": [[""1"", ""Alice"", ""teacher""], [""2"", ""Peter"", ""artist""], [""3"", ""Arnold"", ""engineer""], [""4"", ""Eric"", ""doctor""]]}",10
lgp-test-2x3-38,"{""header"": [""House"", ""Category_1"", ""Category_2"", ""Category_3""], ""rows"": [[""1"", ""Arnold"", ""brown"", ""cat""], [""2"", ""Eric"", ""black"", ""dog""]]}",6
lgp-test-4x5-17,{},83
